Product_id,Price,Sale,weight,Screen_size,ppi,cpu core,cpu freq,internal mem,RearCam,Front_Cam,battery,thickness
10,1950,26,144.3012048192771,5.0,187,4.0,1.3,8.0,8.0,2.0,2000,6.4
14,2276,98,144.3012048192771,5.0,294,8.0,1.5,16.0,13.0,5.0,2300,7.8
30,2975,307,149.0,5.5,534,8.0,1.6,32.0,16.0,8.0,3000,7.0
32,1921,921,179.0,6.0,184,4.0,1.3,8.0,13.0,8.0,2580,8.0
40,1916,10,144.3012048192771,4.7,312,4.0,1.2,8.0,13.0,5.0,2000,7.6
43,1347,67,152.0,7.0,170,2.0,1.3,4.0,2.0,0.9,2820,9.1
56,2044,93,152.0,8.0,283,8.0,2.0,8.0,5.0,2.0,4060,7.3
64,754,0,144.3012048192771,2.4,167,1.0,0.208,4.0,12.0,0.9,2700,12.4
66,1396,114,152.0,7.0,170,4.0,1.2,4.0,3.0,0.9,3240,9.0
93,1984,57,154.0,5.0,294,4.0,1.0,8.0,8.0,5.0,3140,8.1
99,1315,14,144.3012048192771,4.0,233,2.0,1.3,4.0,3.15,0.9,2700,11.0
104,1942,34,144.3012048192771,4.7,469,4.0,2.15,16.0,16.0,4.0,2200,10.3
131,1831,156,154.0,5.0,294,4.0,1.2,8.0,13.0,5.0,2100,8.4
133,2744,214,142.0,5.0,440,8.0,1.25,16.0,16.0,8.0,2700,8.0
143,3287,367,170.0,5.5,401,8.0,2.0,32.0,12.0,13.0,5000,8.0
162,1843,41,144.3012048192771,4.5,218,4.0,1.3,8.0,5.0,4.0,1600,10.1
183,1522,204,160.0,5.0,220,2.0,1.2,8.0,8.0,0.9,2500,10.8
187,2258,26,150.0,5.0,441,4.0,2.3,16.0,13.0,2.0,2300,10.0
198,1734,89,144.3012048192771,4.5,245,4.0,1.2,4.0,8.0,1.2,1840,8.5
203,2357,10,144.3012048192771,5.2,424,8.0,1.35,16.0,13.0,8.0,2610,7.4
218,2323,87,144.3012048192771,4.8,306,8.0,1.7,16.0,8.0,5.0,2100,5.1
237,1646,141,152.0,8.0,160,4.0,1.2,8.0,5.0,5.0,4500,9.0
289,2438,21,162.0,5.3,277,8.0,1.5,32.0,13.0,8.0,4000,7.7
290,4361,3291,152.0,5.7,515,8.0,1.95,64.0,12.0,8.0,2700,7.4
301,2445,678,152.0,5.0,294,4.0,1.3,32.0,8.0,5.0,4000,8.5
315,2938,25,168.0,5.5,534,4.0,1.875,32.0,12.3,8.0,3450,8.5
377,2409,1043,160.0,5.0,441,4.0,2.3,32.0,4.0,5.0,2600,9.4
409,2880,418,145.0,5.1,432,8.0,2.1,32.0,20.0,8.0,3200,7.0
460,1734,382,144.3012048192771,4.0,245,4.0,1.2,4.0,5.0,2.0,1730,10.9
497,2266,615,144.3012048192771,5.0,294,8.0,1.4,8.0,8.0,8.0,1900,6.3
563,2824,73,175.0,5.5,401,6.0,1.53,32.0,21.0,8.0,3500,9.3
575,1777,45,174.0,5.5,178,4.0,1.3,4.0,5.0,1.2,2250,9.2
577,2746,75,158.0,5.5,401,4.0,1.83,64.0,13.0,5.0,4000,8.5
605,2006,24,161.0,5.5,200,8.0,1.4,4.0,5.0,1.0,2500,8.9
622,2174,16,140.0,5.0,294,4.0,1.3,16.0,13.0,5.0,2000,8.2
637,2858,309,174.0,5.7,513,4.0,1.875,32.0,16.0,5.0,3200,7.6
662,2124,37,152.0,10.1,224,4.0,2.26,16.0,5.0,2.0,2700,7.8
696,2466,567,154.0,5.5,534,4.0,2.7,32.0,13.0,2.1,3000,9.1
701,628,0,144.3012048192771,2.2,128,1.0,0.208,4.0,1.3,0.9,2700,18.5
738,2685,72,168.0,5.7,386,8.0,1.8,32.0,21.0,5.0,3050,7.5
739,1989,57,144.3012048192771,5.0,294,4.0,1.3,16.0,13.0,5.0,2500,8.7
763,1302,140,144.3012048192771,4.0,235,2.0,1.2,8.0,2.0,0.9,1500,10.6
774,1238,20,144.3012048192771,4.0,233,2.0,1.2,8.0,2.0,0.9,1560,11.7
776,1390,25,146.0,5.0,220,4.0,1.2,8.0,5.0,5.0,1905,8.8
798,2054,385,169.0,5.5,403,8.0,1.35,16.0,21.0,5.0,3630,10.9
804,1741,57,145.0,4.5,245,4.0,1.2,8.0,5.0,1.2,2390,12.3
826,614,0,144.3012048192771,1.4,129,1.0,0.208,4.0,12.0,0.9,2700,14.1
827,833,0,144.3012048192771,2.4,166,1.0,0.208,4.0,12.0,0.9,2700,12.9
832,1676,268,150.0,5.0,294,4.0,1.2,16.0,10.0,0.9,2200,8.5
841,1511,198,144.3012048192771,4.5,221,4.0,1.2,8.0,5.0,0.9,1830,9.2
851,3055,2055,158.0,5.5,401,4.0,1.875,64.0,16.0,8.0,3000,7.4
856,3260,2260,150.0,5.5,401,8.0,2.2,64.0,20.0,20.0,3000,6.8
857,3116,996,153.0,5.5,401,8.0,1.5,64.0,13.0,16.0,3200,7.3
860,2392,36,147.0,5.2,282,8.0,1.4,32.0,13.0,16.0,2900,7.7
880,1749,11,144.3012048192771,4.0,233,2.0,1.3,4.0,3.15,1.2,1700,9.9
907,2087,40,147.0,5.0,294,4.0,1.3,32.0,8.0,5.0,2450,7.6
937,2571,100,144.3012048192771,4.8,306,4.0,1.2,16.0,8.0,5.0,2000,5.1
947,2137,13,150.0,5.5,401,4.0,2.3,16.0,16.0,8.0,2500,9.5
974,2859,43,169.0,5.7,515,4.0,1.875,64.0,12.0,5.0,3500,7.9
990,2977,26,152.0,5.1,577,8.0,2.3,32.0,12.0,5.0,3000,7.9
1011,3005,109,171.0,5.7,515,8.0,1.8,32.0,16.0,5.0,3000,7.6
1020,2654,32,151.0,5.7,386,8.0,1.55,32.0,16.0,5.0,3050,5.9
1026,791,0,144.3012048192771,1.5,121,1.0,0.208,4.0,12.0,0.9,2700,13.2
1058,2744,23,174.0,5.6,524,4.0,2.7,32.0,16.0,3.7,3000,8.3
1062,1810,166,152.0,8.0,189,4.0,1.2,16.0,3.15,1.2,4450,9.7
1080,2343,206,158.0,5.1,432,4.0,2.5,16.0,16.0,2.0,2800,8.9
1089,1357,357,165.0,4.66,200,4.0,1.2,8.0,5.0,0.9,2600,11.6
1103,2580,16,145.0,5.1,432,4.0,2.5,16.0,16.0,2.0,2800,8.1
1112,2491,456,152.0,12.2,247,8.0,1.6,32.0,8.0,2.0,2700,8.0
1120,1612,19,141.0,5.0,294,4.0,1.2,8.0,8.0,1.2,2040,10.0
1131,2536,1536,152.0,6.0,367,8.0,1.5,16.0,21.5,16.0,2700,8.4
1137,3102,2088,180.0,5.5,806,8.0,1.75,32.0,23.0,5.1,3430,7.8
1143,2562,179,152.0,6.0,367,8.0,1.7,16.0,13.0,13.0,2930,8.2
1145,3316,41,144.0,5.2,428,8.0,1.75,32.0,20.7,5.1,2930,6.9
1161,2508,1508,152.0,5.2,424,4.0,2.5,16.0,20.7,2.2,3100,7.3
1198,705,0,144.3012048192771,2.2,128,1.0,0.208,4.0,2.0,0.9,2700,15.6
1206,3551,2551,178.0,5.46,538,4.0,1.875,64.0,12.0,16.0,4080,8.4
1216,3837,119,167.8,5.43,541,4.0,1.875,64.0,16.0,8.0,3600,7.6
1221,2714,106,156.0,5.5,401,8.0,1.35,16.0,13.0,5.0,2300,5.1
1248,3658,52,168.0,5.15,428,8.0,2.45,64.0,12.0,8.0,3350,7.5
1296,3211,2211,170.0,5.5,534,4.0,1.975,64.0,20.0,8.0,3400,7.9
1327,2001,399,152.0,5.7,258,4.0,1.2,16.0,8.0,1.0,3400,10.2
1339,1421,40,144.3012048192771,4.0,233,2.0,1.0,4.0,2.0,0.9,2700,9.8
